steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
5811	447	4980.98659992218	2.059689681995778	1.9978861308068092	0.15526437694921438	2.2937907878150425	1.8986222619178912	0.7418037	1.452358	0.16022129982709885	0.02956007555127144	3654	0.6980368515915054
5902	454	5061.294742107391	1.9509553140810099	1.9339765213893099	0.18536533534710642	2.14838217440764	1.6669953125878743	0.73577064	1.4523588	0.1676262644305825	0.0353345581702888	3717	0.617353689148178
6006	462	5148.019531488419	2.1327829213090967	2.1148132120630385	0.12973729625020305	2.3052793948899284	1.9546890859254271	0.72441113	1.4523611	0.170084584094584	0.029850888438522814	3780	0.6525990107114814
6110	470	5233.499294042587	2.0454396514002067	2.0290210258939565	0.22728811900469198	2.314537028707124	1.7425963917082308	0.7245946	1.4523022	0.13436540082097054	0.03492211546748877	3843	0.5829667985123367
6201	477	5313.387929916382	1.9662038278518137	1.9790977218584973	0.10735440652906995	2.0973130824176063	1.7990303395493266	0.71231383	1.4520825	0.14542291030287743	0.045484151169657705	3906	0.6928431150821333
6305	485	5398.574145555496	1.9605483615892794	2.0556958355176453	0.18477905231357655	2.0685112401984562	1.6364569998282834	0.7177449	1.4516551	0.1785323127359152	0.02551225610077381	3969	0.5420338923453063
6409	493	5483.301329612732	1.9704684437506048	2.065002438599128	0.2929935084894056	2.2410820036548422	1.4731254337270738	0.7146893	1.4514313	0.1579427558556199	0.03450074101798237	4032	0.6005060958013921
6500	500	5562.945605993271	2.0835522607424815	2.156900882176036	0.18444244220977843	2.24837496604757	1.7892627395859158	0.7273697	1.4513135	0.15907296404242516	0.06842931693419814	4095	0.5327069661077823
6604	508	5650.003010749817	1.985054337872138	1.9543514729193687	0.10234307712930316	2.117391098694828	1.853841670109279	0.7228158	1.4515299	0.18198088444769384	0.060393515173345805	4158	0.6427548548537865
6708	516	5736.524596452713	2.1307226316544075	2.139345245706014	0.12972552834681209	2.321046979178061	1.992447785557886	0.7139966	1.4518211	0.1800827193260193	0.002184678595513105	4221	0.6036029357565837
6812	524	5823.104330301285	2.004002792260674	2.0639905445116926	0.20894199418188653	2.1906620128103667	1.669485339445768	0.72066385	1.4521626	0.1701820471137762	-0.020842062905430794	4284	0.6782894690984566
6903	531	5903.5453407764435	2.212717727836932	2.2445139565145156	0.1244074440443353	2.379944878895936	2.0834642651616138	0.7198462	1.4525219	0.18243116907775403	0.019126802012324334	4347	0.6403473677806549
7007	539	5990.561442375183	2.070332251110779	2.0843156837389447	0.14770912537353778	2.283214311721142	1.9178820328749577	0.7229979	1.4532136	0.22818890914320947	0.02229788787662983	4410	0.4951571176584978
7111	547	6077.191303014755	2.1930227187163194	2.1887419521619216	0.1460002066287798	2.3659177018778093	1.9868392172419511	0.7242684	1.4538059	0.21242916077375412	0.005191404493525624	4473	0.5649220890239144
7202	554	6158.134267568588	2.1161092728424715	1.9892369079352477	0.19063330235702045	2.3323812130962644	1.9634917311344635	0.7280092	1.4546434	0.18739677995443343	0.030417658621445298	4536	0.6887471625205404
7306	562	6246.322722196579	2.02493700316733	2.077097192039091	0.23971569076225072	2.2451551043619	1.646392156539822	0.7326591	1.4559822	0.19749781534075736	0.06906905375421048	4599	0.48675113368015244
7410	570	6334.107325792313	2.0566169431402685	2.0993961560766774	0.15090817213292113	2.1732875105026412	1.803954797370426	0.7324114	1.4574239	0.18018923930823802	0.06256686652079224	4662	0.5387192956092057
7501	577	6416.666584253311	2.0985557099469223	2.108353391998003	0.15264068466518765	2.2918387116664265	1.8639683821273962	0.7285452	1.4588408	0.17575459212064742	0.030984810460358857	4725	0.6148063420691442
7605	585	6504.993056297302	2.078505539326796	2.1187455889602607	0.14123002116676056	2.2153233467746074	1.8432846534219347	0.7367345	1.4601629	0.20747665263712406	0.03772510541602969	4788	0.45094219959371806
7709	593	6592.0774092674255	2.0796319610011142	2.2447689594795754	0.33537120449710595	2.382048975724836	1.6210993659345727	0.72605443	1.4611453	0.18477151796221733	0.005010310355573893	4851	0.7112994257924632
7800	600	6673.282682657242	2.1406851393593858	2.1793845111904484	0.14741153221348147	2.3360398986903728	1.9455998085284365	0.7408384	1.4619578	0.18425747595727443	0.002721283119171858	4914	0.41884633518322045
7904	608	6759.4968955516815	2.2085347626113756	2.2855801160584184	0.1678337218099257	2.37076299701628	2.0014256471554637	0.73440367	1.4627283	0.1601468239724636	0.014134015459567308	4977	0.7145170644605027
8008	616	6847.953045606613	2.146242912105679	2.2008266085366763	0.18595234473342903	2.3027863549867016	1.8618700679302387	0.72958213	1.4631445	0.18137267757207154	0.060814338829368354	5040	0.6611528851229822
8112	624	6935.752383470535	1.966150626530731	1.9542038079834505	0.1855269193552799	2.1825577833797585	1.767986320056317	0.73005086	1.4637603	0.19798691023141146	0.047287427764385936	5103	0.5888183919987826
8203	631	7017.419415950775	2.095928388964041	2.1961992467727445	0.2918512166783267	2.295483892596706	1.5795350307970655	0.7395935	1.4638227	0.21765461646020412	0.011902151964604854	5166	0.4889531054854649
8307	639	7103.955502986908	2.0751449034186567	2.1506054387648836	0.18051252399675238	2.2633302379849325	1.8682175338465783	0.7390559	1.4637548	0.22595980644226074	0.03570867750793696	5229	0.5779643411743984
8411	647	7190.643452882767	2.077923137143862	2.0148337832382834	0.22320065390016847	2.400566129544392	1.8099150212124717	0.741858	1.4634053	0.1803630728274584	0.06897923663258552	5292	0.5586795890058696
